test_id,category,domain,prompt,expected_response,agent_response,detected_mode,expected_word_limit,actual_word_count,concept_match,semantic_similarity,semantic_quality,mode_compliance,obt_adherence,overall_score,execution_time_ms,error,analysis_notes
1,outcome_rewriting,OBT Methodology,Rewrite 'implement ERP system' as an outcome (≤10 words),Business processes are integrated enterprise-wide,Business processes are integrated enterprise-wide,MODE1,15,5,1,1.0,EXCELLENT,3,2,0.9167,2501,,MODE: MODE1 | Words: 5/15 | Semantic: EXCELLENT | MODE1 compliant | Solution-specific: erp
2,classification,OBT Methodology,Classify 'Decision speed improves measurably' — What or How?,What,What,MODE2,5,1,1,1.0,EXCELLENT,3,3,1.0,2860,,MODE: MODE2 | Words: 1/5 | Semantic: EXCELLENT | MODE2 compliant | OBT compliant
3,outcome_rewriting,Global PD,Provide a ≤10-word outcome for product design quality.,Design quality meets customer expectations consistently,Quality excellence is achieved consistently across product design,MODE1,15,8,1,0.8411,EXCELLENT,3,3,0.9603,2928,,MODE: MODE1 | Words: 8/15 | Semantic: EXCELLENT | MODE1 compliant | OBT compliant
4,portfolio_analysis,Global PD,"Prioritize: Digital Twin, Advanced Analytics, Predictive Maintenance for capability impact.",1) Advanced Analytics; 2) Digital Twin; 3) Predictive Maintenance,"**Priority Ranking by Capability Impact:**

1. **Advanced Analytics** (Impact Score: 3)
   - Enables data-driven decision making across all domains
   - Foundation for both Digital Twin and Predictive Maintenance
   - Current Maturity: Level 2, Target: Level 4

2. **Digital Twin** (Impact Score: 3) 
   - High operational efficiency gains
   - Requires Advanced Analytics foundation
   - Strategic differentiator for product development

3. **Predictive Maintenance** (Impact Score: 2)
   - Focused operational benefit
   - Dependent on Advanced Analytics maturity
   - Lower cross-domain impact

**Rationale:** Advanced Analytics serves as the foundational capability enabling the other two. Digital Twin provides broader strategic value across product development, while Predictive Maintenance delivers focused operational benefits.

**Source:** Data and AI Project Impacts (100225).xlsx, Data and AI Capability Definitions and Maturities.xlsx",MODE3,150,120,1,0.7454,GOOD,3,3,0.9363,5874,,MODE: MODE3 | Words: 120/150 | Semantic: GOOD | MODE3 compliant | OBT compliant
5,acceptance_criteria,OBT Methodology,Write acceptance criteria for 'Workforce capabilities enhanced significantly' including owner and measurement.,Owner: HR/L&D; Measure: competency assessment pass rate; Goal: 90% within 12 months; Evidence: assessment reports,"**ACCEPTANCE CRITERIA: Workforce Capabilities Enhanced Significantly**

**Definition & Scope**
Workforce demonstrates measurably improved skills, knowledge, and performance across core competencies critical to strategic outcomes. Enhancement spans technical expertise, leadership capabilities, and cross-functional collaboration.

**Success Criteria**
- Skill assessments show quantifiable improvement in core competencies
- Performance metrics demonstrate enhanced productivity and quality
- Employee confidence levels increase in assigned responsibilities  
- Knowledge retention rates improve post-training initiatives
- Cross-functional collaboration effectiveness increases measurably
- Leadership pipeline strength shows clear advancement

**Measurement Framework**
- Primary KPI: Workforce capability maturity score (baseline vs. target)
- Performance metrics: Productivity indices, quality scores, project success rates
- Employee surveys: Confidence levels, skill self-assessments
- Learning metrics: Training completion rates, certification achievements
- 360-degree feedback improvements across competency areas

**RACI Assignment**
- **Responsible**: HR Learning & Development, Functional Managers
- **Accountable**: Chief Human Resources Officer
- **Consulted**: Business Unit Leaders, Subject Matter Experts  
- **Informed**: Executive Leadership Team, Employee Representatives

**Verification Methods**
- Quarterly capability assessments with standardized rubrics
- Performance dashboard tracking with trend analysis
- Employee feedback collection and analysis
- Skills gap analysis with progress tracking
- External benchmarking against industry standards

Source: Multi-domain capability enhancement principles",MODE1,30,195,1,0.6145,EXCELLENT,2,1,0.6203,10935,,"MODE: MODE1 | Words: 195/30 | Semantic: EXCELLENT | Exceeds MODE1 limit: 195 > 15 words | Contains metrics/numbers; Present tense verbs: perform, improve"
6,classification,OBT Methodology,"Is 'Deploy analytics dashboards' an acceptable outcome? If not, reframe.",No — it's a How. Reframe: Decision speed improves measurably,No — How. Reframe: Business insights are easily accessible,MODE2_REFRAME,5,9,0,0.2932,FAIR,3,3,0.6733,2753,,MODE: MODE2_REFRAME | Words: 9/5 | Semantic: FAIR | MODE2_REFRAME compliant | OBT compliant
7,maturity_assessment,BOM & PIM Management,State Part Information Management maturity (current and target).,"Part Information Management — Current: Level 2 (Managed), Target: Level 4 (Quantitatively Managed)","**Part Information Management**
- Current: Level 2 (Managed) 
- Target: Level 4 (Quantitatively Managed)

Source: BOM PIM Capability Definitions and Maturities.xlsx

Current state shows basic part information workflows exist with some standardization, but lacks integrated data governance and automated validation. Target level enables data-driven decision making with quantitative performance controls and predictive analytics for part lifecycle management.",MODE1,30,57,1,0.841,EXCELLENT,2,1,0.6769,5637,,MODE: MODE1 | Words: 57/30 | Semantic: EXCELLENT | Exceeds MODE1 limit: 57 > 15 words | Contains metrics/numbers; Present tense verbs: perform
8,outcome_rewriting,OBT Methodology,Create a metric-free ≤10-word outcome for customer onboarding.,Customers onboard seamlessly and confidently,Customer relationships are established quickly and effortlessly.,MODE1,15,7,0,0.5925,GOOD,3,3,0.7481,2355,,MODE: MODE1 | Words: 7/15 | Semantic: GOOD | MODE1 compliant | OBT compliant
9,portfolio_analysis,Global PD,Top-level RACI for Digital Twin — Accountable and Responsible?,Accountable: Head of Operations; Responsible: Plant Engineering & Operations,"**Digital Twin RACI - Top Level**

**Accountable:** Chief Technology Officer (CTO) or VP of Engineering
**Responsible:** Digital Engineering Manager / IoT Program Manager

**Key Context:**
- Accountable ensures strategic alignment and resource allocation
- Responsible owns day-to-day execution and cross-functional coordination
- Digital Twin spans Data & AI domain (current maturity: Level 2, target: Level 4)

**Source:** Data and AI Capability Definitions and Maturities.xlsx, organizational structure analysis",MODE3,150,67,0,0.5062,FAIR,3,3,0.7266,5344,,MODE: MODE3 | Words: 67/150 | Semantic: FAIR | MODE3 compliant | OBT compliant
10,portfolio_analysis,Global PD,"Given target weights Pain 30%, Capabilities 55%, Infra 15% and current Pain29%, Cap13%, Infra21% — which area is underrepresented?",Capabilities underrepresented (13% vs 55%). Action: prioritize capability projects and reallocate budget.,"Capabilities

Current gap: -42 percentage points (13% actual vs 55% target)",MODE2,5,11,1,0.6912,EXCELLENT,1,3,0.6895,3107,,"MODE: MODE2 | Words: 11/5 | Semantic: EXCELLENT | Exceeds MODE2 limit: 11 > 5 words; Expected 1 word, got 11 | OBT compliant"
