test_id,category,domain,mode,prompt,expected_response,agent_response,word_count,semantic_correctness,obt_adherence,response_completeness,professional_communication,overall_score,rating,execution_time_ms,error,score_breakdown,dimension_explanations,passed_checks,failed_checks
1,outcome_rewriting,OBT Methodology,MODE1,Rewrite 'implement ERP system' as an outcome (≤10 words),Business processes are integrated enterprise-wide,Business processes are integrated enterprise-wide,5,1.0,0.75,1.0,1.0,0.9375,EXCELLENT,2281,,Semantic: 1.000 × 0.40 = 0.400 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: EXCELLENT (similarity: 1.000) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Proper tense (present passive describing achieved state)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Mentions specific technology: erp""], ""communication"": []}"
2,classification,OBT Methodology,MODE2,Classify 'Decision speed improves measurably' — What or How?,What,What,1,1.0,0.75,0.7,1.0,0.8775,EXCELLENT,1900,,Semantic: 1.000 × 0.40 = 0.400 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: EXCELLENT (similarity: 1.000) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
3,outcome_rewriting,Global PD,MODE1,Provide a ≤10-word outcome for product design quality.,Design quality meets customer expectations consistently,Product designs consistently meet world-class quality standards,7,0.8204,0.75,1.0,1.0,0.8657,EXCELLENT,2896,,Semantic: 0.820 × 0.40 = 0.328 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.820) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
4,portfolio_analysis,Global PD,MODE3,"Prioritize: Digital Twin, Advanced Analytics, Predictive Maintenance for capability impact.",1) Advanced Analytics; 2) Digital Twin; 3) Predictive Maintenance,"**Priority Ranking by Capability Impact:**

1. **Advanced Analytics** (Foundational enabler)
   - Impact Score: 3 across multiple Data & AI capabilities
   - Enables: Decision speed, data-driven insights, cross-domain optimization
   - Current Maturity: Level 2 → Target: Level 4

2. **Digital Twin** (Strategic differentiator)
   - Impact Score: 3 for operational efficiency and product development
   - Enables: Real-time optimization, predictive modeling, design validation
   - Current Maturity: Level 2 → Target: Level 4

3. **Predictive Maintenance** (Operational optimizer)
   - Impact Score: 2-3 for manufacturing efficiency
   - Enables: Downtime reduction, cost optimization, quality consistency
   - Current Maturity: Level 1 → Target: Level 3

**Rationale:** Advanced Analytics provides foundational data capabilities that amplify Digital Twin and Predictive Maintenance effectiveness. Digital Twin offers highest strategic value for product innovation. Predictive Maintenance delivers immediate operational ROI but depends on analytics maturity.

**Recommended Sequence:** Analytics foundation → Digital Twin implementation → Predictive Maintenance optimization

Source: Data and AI Project Impacts (100225).xlsx, Data and AI Capability Definitions and Maturities.xlsx",159,0.7472,1.0,1.0,1.0,0.8989,EXCELLENT,7718,,Semantic: 0.747 × 0.40 = 0.299 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.747) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""\u2713 Confidence level stated"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
5,acceptance_criteria,OBT Methodology,MODE3,Write acceptance criteria for 'Workforce capabilities enhanced significantly' including owner and measurement.,Owner: HR/L&D; Measure: competency assessment pass rate; Goal: 90% within 12 months; Evidence: assessment reports,"## Acceptance Criteria: Workforce Capabilities Enhanced Significantly

**Outcome Owner:** Chief Human Resources Officer (CHRO)

**Supporting Stakeholders:**
- Learning & Development Director
- Operations Leaders
- Engineering Managers
- Quality Assurance Director

### Acceptance Criteria

**Capability Development:**
- Skills gap assessment completed across all product development functions
- Competency frameworks established for critical technical roles
- Individual development plans activated for 100% of engineering and operations staff
- Cross-functional training programs implemented for design-to-manufacturing handoffs

**Knowledge Management:**
- Knowledge retention processes established for critical expertise areas
- Documentation standards implemented for design methodologies and manufacturing processes
- Mentorship programs activated between senior and junior technical staff
- Communities of practice established for key capability domains

**Performance Enablement:**
- Performance support tools deployed at point-of-work
- Just-in-time learning resources accessible through existing workflows
- Certification pathways defined for specialized technical competencies
- Regular capability reviews integrated into performance management cycles

### Measurement Framework

**Leading Indicators:**
- Training completion rates by competency area
- Skills assessment score improvements
- Knowledge base utilization metrics
- Mentorship program participation rates

**Lagging Indicators:**
- Time-to-competency for new hires in critical roles
- Internal promotion rates for technical positions
- Employee capability confidence ratings
- Cross-functional collaboration effectiveness scores

**Source:** Workforce development best practices aligned with Global PD transformation requirements",213,0.5636,1.0,1.0,1.0,0.8255,GOOD,10313,,Semantic: 0.564 × 0.40 = 0.225 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.564) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""\u2713 Confidence level stated"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
6,classification,OBT Methodology,MODE2,"Is 'Deploy analytics dashboards' an acceptable outcome? If not, reframe.",No — it's a How. Reframe: Decision speed improves measurably,No — How. Reframe: Business insights are easily accessible,9,0.2932,0.75,1.0,1.0,0.6548,ACCEPTABLE,2841,,Semantic: 0.293 × 0.40 = 0.117 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: POOR (similarity: 0.293) | Complete: Direct answer provided; Reframe with brief reasoning provided; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
7,maturity_assessment,BOM & PIM Management,MODE3,State Part Information Management maturity (current and target).,"Part Information Management — Current: Level 2 (Managed), Target: Level 4 (Quantitatively Managed)","Part Information Management — Current: Level 2 (Managed), Target: Level 4 (Quantitatively Managed)

Source: BOM PIM Capability Definitions and Maturities.xlsx

Key context: Current state shows basic part information workflows exist but lack standardization across engineering teams. Target enables data-driven decision making with quantitative controls and predictive analytics for part lifecycle management.",51,0.829,1.0,1.0,1.0,0.9316,EXCELLENT,3786,,Semantic: 0.829 × 0.40 = 0.332 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.829) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
8,outcome_rewriting,OBT Methodology,MODE1,Create a metric-free ≤10-word outcome for customer onboarding.,Customers onboard seamlessly and confidently,Customer onboarding experiences consistently exceed satisfaction expectations,7,0.7773,0.75,1.0,1.0,0.8484,GOOD,2659,,Semantic: 0.777 × 0.40 = 0.311 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.777) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
9,portfolio_analysis,Global PD,MODE3,Top-level RACI for Digital Twin — Accountable and Responsible?,Accountable: Head of Operations; Responsible: Plant Engineering & Operations,"**Digital Twin RACI:**

**Accountable:** Chief Technology Officer (CTO) or VP Engineering
**Responsible:** Digital Twin Program Manager + Data Engineering Team Lead

**Supporting Roles:**
- **Consulted:** Product Management, Manufacturing Engineering, IT Architecture
- **Informed:** Business Unit Leaders, Quality Assurance, Supply Chain

**Rationale:** Digital Twin spans engineering data, manufacturing systems, and product lifecycle - requiring executive accountability with dedicated program management and technical execution.

**Source:** Data and AI Capability Definitions and Maturities.xlsx, AI Agentic Strategy for Data & AI",77,0.4764,1.0,1.0,1.0,0.7906,GOOD,5888,,Semantic: 0.476 × 0.40 = 0.191 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: POOR (similarity: 0.476) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
10,portfolio_analysis,Global PD,MODE1,"Given target weights Pain 30%, Capabilities 55%, Infra 15% and current Pain29%, Cap13%, Infra21% — which area is underrepresented?",Capabilities underrepresented (13% vs 55%). Action: prioritize capability projects and reallocate budget.,"Capabilities

(Current: 13% vs Target: 55% = -42% gap)",9,0.7062,0.5,1.0,1.0,0.7575,GOOD,4947,,Semantic: 0.706 × 0.40 = 0.282 | OBT: 0.500 × 0.25 = 0.125 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.706) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Contains metrics/numbers"", ""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
